鋼筋尺寸	"Soft"鋼筋尺寸	重量（lb/ft）	重量（kg/m）	直徑（in）	直徑（mm）	直徑（cm）	截面積（in²）	截面積（mm²）	截面積（cm²）
#3	#10	0.376	0.561	0.375 = 3/8	9.525	0.9525	0.11	71	0.71
#4	#13	0.668	0.996	0.500 = 4/8	12.7	1.27	0.2	127	1.27
#5	#16	1.043	1.556	0.625 = 5/8	15.875	1.5875	0.31	200	2
#6	#19	1.502	2.24	0.750 = 6/8	19.05	1.905	0.44	284	2.84
#7	#22	2.044	3.049	0.875 = 7/8	22.225	2.2225	0.6	387	3.87
#8	#25	2.67	3.982	1.000 = 8/8	25.4	2.54	0.79	509	5.09
#9	#29	3.4	5.071	1.128	28.65	2.865	1	645	6.45
#10	#32	4.303	6.418	1.27	32.26	3.226	1.27	819	8.19
#11	#36	5.313	7.924	1.41	35.81	3.581	1.56	1006	10.06
#12	#40	6.424	9.619	1.5	38.1	3.81	1.76	1140	11.4
#14	#43	7.65	11.41	1.693	43	4.3	2.25	1452	14.52
#18	#57	13.6	20.284	2.257	57.33	5.733	4	2581	25.81
