Story	BayID	SecID	StnLoc	Status	AsTopCombo	AsMinTop	AsTop	AsBotCombo	AsMinBot	AsBot	VCombo	VRebar	TLngCombo	TLngRebar	TTrnCombo	TTrnRebar	ErrMsg	WarnMsg
PR	B131	B50X70C24	     0.300	No Message	USS71S	    0.000570	    0.000570	USS78S	    0.000569	    0.000569	USS74S	    0.000724	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     0.765	No Message	USS79S	    0.000395	    0.000395	USS70S	    0.000533	    0.000533	USS74S	    0.000690	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     1.230	No Message	USS79S	    0.000242	    0.000242	USS70S	    0.000485	    0.000485	USS74S	    0.000646	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     1.695	No Message	USS70S	    0.000240	    0.000240	USS70S	    0.000414	    0.000414	USS74S	    0.000592	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     2.160	No Message	USS70S	    0.000240	    0.000240	USS70S	    0.000313	    0.000313	USS82S	    0.000543	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     2.625	No Message	USS70S	    0.000240	    0.000240	USS02	    0.000262	    0.000262	USS74S	    0.000615	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     3.090	No Message	USS70S	    0.000240	    0.000240	USS70S	    0.000240	    0.000240	USS74S	    0.000689	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     3.555	No Message	USS70S	    0.000240	    0.000240	USS70S	    0.000254	    0.000254	USS74S	    0.000753	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     4.020	No Message	USS70S	    0.000429	    0.000429	USS79S	    0.000279	    0.000279	USS74S	    0.000807	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     4.485	No Message	USS70S	    0.000691	    0.000691	USS79S	    0.000300	    0.000300	USS74S	    0.000851	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B131	B50X70C24	     4.950	No Message	USS70S	    0.000977	    0.000977	USS70S	    0.000482	    0.000482	USS74S	    0.000885	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B163	B50X70C24	     0.300	No Message	USS74S	    0.001004	    0.001004	USS68S	    0.000644	    0.000644	USS82S	    0.000894	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B163	B50X70C24	     0.767	No Message	USS68S	    0.000946	    0.000946	USS68S	    0.000319	    0.000319	USS82S	    0.000864	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B163	B50X70C24	     1.233	No Message	USS68S	    0.000612	    0.000612	USS68S	    0.000319	    0.000319	USS82S	    0.000827	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
PR	B163	B50X70C24	     1.700	No Message	USS68S	    0.000319	    0.000319	USS68S	    0.000319	    0.000319	USS82S	    0.000785	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
